3,99
12,111
15,87
15,114
15,120
18,90
21,81
21,108
24,81
27,114
30,471
33,57
33,84
36,72
39,6
42,69
45,60
45,456
45,468
48,447
51,18
60,453
63,417
72,375
75,381
102,630
105,288
174,102
177,63
180,660
180,666
183,51
183,66
195,54
198,66
204,18
204,342
213,24
213,717
216,495
216,714
216,723
219,24
219,498
219,699
225,726
228,495
231,18
231,21
231,699
237,696
240,702
240,717
240,729
243,495
246,453
249,195
249,513
252,438
252,516
255,402
255,471
258,162
258,501
258,729
261,408
261,453
261,480
261,720
261,726
264,486
264,534
264,663
264,669
264,690
267,528
267,531
267,540
267,660
270,24
270,426
270,486
270,507
270,672
270,693
270,729
273,582
273,699
279,408
279,564
279,567
282,471
282,498
282,564
282,588
285,351
285,417
285,489
285,558
285,561
288,345
294,453
297,3
297,399
297,435
297,558
300,504
303,9
303,543
303,546
306,465
306,552
309,450
309,489
315,459
324,465
324,468
327,456
327,462
327,465
327,468
330,462
330,465
336,468
336,471
339,240
342,396
348,447
351,411
351,417
351,441
354,408
354,411
357,771
369,264
372,261
372,420
405,291
408,291
411,687
420,360
420,627
420,636
423,357
423,624
426,360
426,657
429,606
429,675
435,6
435,15
438,576
438,624
447,375
453,540
453,579
456,546
459,381
462,531
462,552
465,537
489,507
492,489
495,489
498,3
498,6
498,471
507,3
507,240
510,18
510,222
513,21
513,453
516,240
516,453
522,75
522,81
522,84
522,444
525,9

